#{"t_start": 1764496820.448364, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
147.927148,1000,7.251447
71.673805,1000,14.622619
74.594643,1000,22.932011
71.459408,1000,31.469945
73.573771,1000,39.890707
73.659888,1000,47.949252
72.907725,1000,55.783711
74.083103,1000,63.533395
72.362246,1000,71.604568
73.180912,1000,80.026606
72.893381,1000,87.964752
71.80574,1000,95.722762
74.459424,1000,103.928159
72.642979,1000,112.02666
73.228865,1000,120.304486
72.751474,1000,128.645578
74.409894,1000,136.47581
71.536211,1000,144.487653
72.543892,1000,152.857801
73.783076,1000,160.99223
73.565701,1000,169.136346
71.704004,1000,177.115999
74.987653,1000,185.145751
71.396246,1000,193.309461
73.927218,1000,201.671279
72.858702,1000,209.58928
74.575222,1000,217.171633
74.296753,1000,225.210721
74.252584,1000,233.421434
71.291581,1000,242.717345
70.769376,1000,251.10978
73.792511,1000,258.901405
71.748356,1000,266.814368
74.11186,1000,274.97953
72.473564,1000,283.252826
73.924698,1000,291.529385
74.048296,1000,299.762268
73.268542,1000,307.619158
76.709116,1000,315.773525
71.506644,1000,323.997995
72.267029,1000,331.673316
71.837251,1000,339.655545
73.352561,1000,348.410846
75.093725,1000,356.871918
72.28237,1000,365.387158
74.106893,1000,373.79575
71.717726,1000,381.514601
73.416573,1000,389.50067
73.934746,1000,397.67927
72.645878,1000,405.767118
72.408065,1000,413.525631
71.134134,1000,421.914663
73.354127,1000,432.280174
73.185049,1000,442.383741
71.890838,1000,452.221061
73.776133,1000,461.663585
73.21369,1000,472.010133
73.412409,1000,481.846105
73.521798,1000,491.916671
72.494377,1000,516.160501
73.357188,1000,524.999858
72.298806,1000,533.258687
71.544953,1000,541.085727
74.47046,1000,549.27066
73.487985,1000,557.587986
72.650178,1000,565.863307
74.364481,1000,573.779055
73.415718,1000,582.001639
74.274464,1000,590.356551
74.040908,1000,598.523157
72.026143,1000,606.517364
72.408953,1000,614.508942
72.385089,1000,622.473946
73.88391,1000,630.962755
72.809644,1000,639.339192
72.074957,1000,647.795476
74.328911,1000,656.027731
72.530569,1000,663.705222
73.829047,1000,671.635287
73.55819,1000,680.074843
73.235575,1000,688.551543
74.631327,1000,696.931654
72.737329,1000,705.12245
73.647576,1000,712.822509
71.811366,1000,720.921354
74.220141,1000,729.303409
71.616312,1000,737.305283
71.721824,1000,745.160828
72.093506,1000,753.733288
71.681075,1000,762.200211
73.967919,1000,770.34664
74.828711,1000,778.14536
72.457049,1000,785.88045
72.691965,1000,794.148513
73.322072,1000,802.579631
74.254934,1000,811.079303
72.321492,1000,819.643966
72.216737,1000,827.493726
72.912528,1000,835.122485
73.028654,1000,843.424893
73.58897,1000,851.927261
73.295108,1000,859.809965
72.415401,1000,867.658453
72.139505,1000,876.246016
73.910957,1000,884.452644
73.609983,1000,892.606616
72.866719,1000,900.796402
71.867817,1000,909.025288
74.183477,1000,917.323071
74.53929,1000,925.805304
72.203412,1000,934.107984
73.278702,1000,942.311396
74.6597,1000,950.019627
71.842847,1000,957.834284
73.815196,1000,966.121442
72.955277,1000,974.491368
74.117643,1000,982.368574
72.44497,1000,990.448478
74.954585,1000,998.815955
70.424995,1000,1006.99265
73.204221,1000,1015.162514
75.023104,1000,1023.357804
71.938754,1000,1031.37019
72.944827,1000,1039.769513
72.42849,1000,1048.17015
72.506571,1000,1055.88464
72.981271,1000,1063.532894
74.516458,1000,1071.94749
71.292223,1000,1080.269301
74.56132,1000,1088.848356
74.080212,1000,1097.185871
74.89526,1000,1105.046782
74.119484,1000,1113.139387
74.726085,1000,1121.353546
71.108952,1000,1129.500363
72.138397,1000,1137.748777
70.219709,1000,1146.657455
72.450249,1000,1155.997234
72.062704,1000,1165.679394
74.348082,1000,1175.961144
74.19115,1000,1184.855708
76.497439,1000,1193.083861
73.2016,1000,1201.716147
75.394945,1000,1212.498227
72.354514,1000,1222.938763
73.311557,1000,1232.404741
73.685226,1000,1242.694457
70.924524,1000,1252.552144
73.653374,1000,1262.41907
74.503217,1000,1271.607887
74.263644,1000,1280.94035
73.115694,1000,1291.077442
73.945145,1000,1300.484355
73.15217,1000,1309.454937
71.626833,1000,1319.629353
71.366352,1000,1329.43531
73.406175,1000,1340.271369
72.620555,1000,1350.871096
71.370575,1000,1360.964677
71.938992,1000,1370.63178
74.111873,1000,1380.35191
75.509358,1000,1389.886223
72.800001,1000,1398.988006
72.755931,1000,1408.715681
73.810439,1000,1418.689853
70.317202,1000,1427.626365
73.460324,1000,1437.406693
72.311788,1000,1447.092677
73.852266,1000,1456.812782
73.806994,1000,1466.1689
73.009973,1000,1475.219686
72.175854,1000,1485.820312
72.296671,1000,1495.512869
72.1887,1000,1504.330017
75.348053,1000,1514.143556
74.64665,1000,1523.969503
72.566725,1000,1532.347634
72.46975,1000,1538.290871
73.800285,1000,1544.301081
73.933337,1000,1550.251738
74.387184,1000,1556.173715
73.68058,1000,1562.154287
74.348276,1000,1568.057512
73.186517,1000,1574.018865
72.730658,1000,1579.900207
74.211139,1000,1585.833173
73.396834,1000,1591.760226
71.675166,1000,1598.085523
72.647975,1000,1604.1418
71.842599,1000,1610.061456
71.407585,1000,1616.390767
72.547849,1000,1622.442738
70.7733,1000,1629.351022
72.879902,1000,1635.331306
73.458454,1000,1641.277459
71.041265,1000,1647.455763
72.841353,1000,1654.430929
72.986923,1000,1661.199692
73.774442,1000,1667.013279
72.714725,1000,1672.88111
