#{"t_start": 1764495135.9557986, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
115.218988,1000,14.610391
149.472463,1000,25.281638
6.41104,1000,34.706843
70.822247,1000,44.481932
134.033082,1000,54.405059
207.847477,1000,63.695931
145.255774,1000,73.255197
228.106589,1000,82.787398
189.425152,1000,92.81319
183.121983,1000,104.180069
172.573874,1000,114.428696
197.880051,1000,125.519542
160.383599,1000,136.167003
178.978753,1000,147.255315
183.623269,1000,157.85488
332.1379,1000,168.670369
272.876468,1000,179.196293
216.564267,1000,190.577394
283.473591,1000,199.59596
249.17408,1000,207.502779
314.038639,1000,214.789779
304.377935,1000,222.421462
345.232667,1000,230.320079
418.635764,1000,238.330947
523.455263,1000,246.617608
430.196758,1000,254.41435
422.567292,1000,262.032744
431.719368,1000,269.868253
245.023886,1000,277.674003
476.591301,1000,285.745666
451.066145,1000,293.723035
448.005215,1000,301.23658
668.321191,1000,309.120535
580.091397,1000,317.121085
496.949997,1000,324.589487
626.419543,1000,331.978203
522.272687,1000,340.01693
496.535733,1000,348.159405
497.842875,1000,355.891437
512.687811,1000,363.364583
584.256534,1000,371.164009
664.513985,1000,379.010511
694.211889,1000,387.010876
663.493559,1000,395.336516
541.165941,1000,402.974795
540.697237,1000,410.640819
754.198791,1000,418.681347
624.432801,1000,426.724817
547.377328,1000,434.337945
539.010075,1000,442.004868
498.042496,1000,450.846215
599.611789,1000,460.712927
696.129861,1000,470.568649
681.972452,1000,479.883859
578.87766,1000,488.943501
611.006922,1000,499.147067
690.370126,1000,508.931139
585.325808,1000,519.759151
739.726286,1000,536.498247
558.583797,1000,545.179134
656.657496,1000,552.965213
647.349203,1000,560.679602
654.581558,1000,568.774954
664.914455,1000,577.22689
733.517594,1000,585.484052
846.071961,1000,593.774795
764.522311,1000,601.579893
768.282787,1000,609.251054
843.989801,1000,617.525681
844.601287,1000,625.947932
723.783412,1000,634.43417
729.02285,1000,642.824229
720.124163,1000,650.605248
649.962077,1000,658.534203
738.751531,1000,666.595985
760.499788,1000,674.599576
832.040908,1000,682.370418
824.791673,1000,690.852345
842.470207,1000,699.157977
846.863016,1000,707.508916
834.60916,1000,715.767254
834.27224,1000,724.012411
834.658521,1000,731.86766
833.081618,1000,740.031371
822.05166,1000,748.43758
822.338242,1000,757.033223
823.745382,1000,765.42278
823.754027,1000,773.227043
819.381331,1000,781.376328
817.693917,1000,789.584196
838.52124,1000,797.606018
849.744748,1000,805.310678
854.429302,1000,813.568152
857.688205,1000,821.856564
858.254881,1000,830.206812
858.313586,1000,838.358932
854.234349,1000,845.853755
857.042784,1000,853.602953
852.454311,1000,861.82693
857.02082,1000,870.190058
855.281419,1000,878.725127
851.72881,1000,886.969175
851.950018,1000,894.604507
853.0022,1000,902.317674
851.520284,1000,910.51644
850.280957,1000,918.690227
848.787069,1000,926.709439
846.764534,1000,934.973069
848.530432,1000,943.568652
848.798828,1000,951.861879
847.103051,1000,959.801675
850.436276,1000,967.760976
858.351747,1000,975.795088
854.916452,1000,984.289199
854.429393,1000,992.494334
811.123724,1000,1000.590028
858.22848,1000,1008.806295
845.653919,1000,1016.882096
832.099185,1000,1024.990943
840.183684,1000,1033.403914
717.679031,1000,1041.077057
837.97676,1000,1049.166329
842.855631,1000,1057.396636
839.082729,1000,1065.429604
851.243624,1000,1073.726407
851.253837,1000,1081.640912
849.172371,1000,1089.703447
853.532997,1000,1097.765299
849.723872,1000,1106.214658
859.604579,1000,1114.068373
857.565538,1000,1122.371176
857.540723,1000,1130.80757
857.096128,1000,1138.559991
857.790638,1000,1146.622496
839.850707,1000,1154.665591
850.117449,1000,1162.838582
855.686328,1000,1170.6292
857.678128,1000,1178.966345
857.018251,1000,1187.30173
857.385801,1000,1195.645759
853.295774,1000,1203.756632
859.800415,1000,1211.305506
857.941639,1000,1219.390915
859.179349,1000,1228.040168
861.308172,1000,1236.462937
847.303541,1000,1243.986136
852.789495,1000,1252.22106
860.000429,1000,1260.684858
837.239146,1000,1269.173267
859.879343,1000,1277.452903
859.234289,1000,1285.00698
856.736065,1000,1293.2883
856.142092,1000,1301.501359
856.969105,1000,1309.873806
859.192293,1000,1318.247617
859.705629,1000,1326.265155
858.69102,1000,1333.923892
858.188234,1000,1341.776588
858.442628,1000,1350.110054
857.1171,1000,1358.461714
861.680348,1000,1366.819948
858.598243,1000,1375.061577
861.134963,1000,1382.830204
858.766643,1000,1390.96527
859.098936,1000,1399.040323
857.04354,1000,1406.896416
840.239811,1000,1414.704698
855.789051,1000,1423.024774
855.695972,1000,1431.655838
846.749431,1000,1440.239322
856.207472,1000,1448.107074
849.155956,1000,1455.812886
858.186566,1000,1463.837553
855.586346,1000,1472.270891
854.349311,1000,1480.544738
852.052827,1000,1488.866002
854.802501,1000,1496.768282
856.862533,1000,1504.533255
856.905563,1000,1512.811694
853.025999,1000,1521.111919
857.909432,1000,1528.812141
855.99512,1000,1536.825798
857.959094,1000,1545.377751
860.435854,1000,1553.794934
857.974586,1000,1562.198798
855.253266,1000,1570.067219
857.450133,1000,1577.896418
859.796154,1000,1586.002032
859.54932,1000,1594.561746
858.708068,1000,1602.895844
860.960115,1000,1611.311459
861.086603,1000,1619.14925
857.815798,1000,1626.759195
853.388509,1000,1635.001493
849.660003,1000,1643.21161
843.913071,1000,1650.992982
853.967151,1000,1658.97232
843.815616,1000,1667.661522
845.876773,1000,1675.856617
851.575796,1000,1683.973042
